iso3,recurso,q_1950_twh,q_2019_twh,reservas_twh,urr_proxy_twh,x_1950_proxy,x_2019_proxy,r_linealizacion,urr_linealizacion_twh,r2_linealizacion,r_condicional_urr_proxy,anio_pico_produccion,prod_pico_twh
USA,oil,63019.366,402046.702,109071.42932400001,511118.131324,0.12329706605546292,0.7866023084693523,0.052438507146426436,458197.03722363675,0.8592255330787093,0.04454693105454347,2019,8735.463
UZB,oil,36.727526104570536,2408.195808124592,942.281208,3350.477016124592,0.010961879734680971,0.718762073739007,0.07837144192269666,3257.383118726126,0.5306675061999869,0.07619716178762577,1998,95.087
VEN,oil,9352.03,122066.384,481936.783009,604003.167009,0.015483412191877878,0.2020956025851122,0.06638702717761052,128904.20987210984,0.6870781435029473,0.023473038596864573,1970,2293.879
VNM,oil,0.0,4726.54,6979.8608,11706.4008,0.0,0.40375689169979556,0.1891434175492697,5130.397772387343,0.901791289628116,0.10404535625186373,2004,237.415
YEM,oil,0.0,4788.949,4758.996,9547.945,0.0,0.5015685574225658,0.20865271716673797,4935.753448560758,0.9832759532816057,0.11130893889121606,2002,250.627
AFG,gas,0.0,738.883,,,,,0.1993521949555862,731.9762176217539,0.8864842781451457,,1974,38.538
ARE,gas,0.0,14179.606,62160.58224,76340.18824,0.0,0.18574235048283919,0.10860603189347064,19980.651733800518,0.9340253763937613,0.07620701223508311,2016,595.208
ARG,gas,116.098,12808.773,4035.76119,16844.53419,0.0068923247559391256,0.7604112322443509,0.08102444319087601,20307.508370688378,0.8665230936286659,0.08964542207154007,2006,448.323
AUS,gas,0.0,16804.659,25011.9432,41816.6022,0.0,0.40186572117043023,,,,0.08730502064935917,2019,1461.024
AUT,gas,9.600000000000001,1148.912,,,,,0.0791413057350557,1186.7787857421076,0.747889904865128,,1978,26.823
AZE,gas,11.37601563453113,5067.599669797043,26205.704550000002,31273.304219797046,0.0003637612308113491,0.16204234877711077,0.06425154979754419,8403.431246114378,0.1270898052144861,0.05071019744977118,2019,239.382
BGD,gas,0.0,4628.702,1153.7774100000001,5782.47941,0.0,0.8004701222100851,0.09572294051563421,12336.503227539897,0.9457750233253991,0.1343608369206531,2017,265.927
BHR,gas,0.0,3831.243,809.2037700000001,4640.4467700000005,0.0,0.8256194262950245,0.08367361040498789,6580.620834935366,0.8646598753531974,0.10813850562526049,2019,162.66
BOL,gas,0.0,3392.344,2228.11029,5620.45429,0.0,0.6035711394425379,0.07297789813089754,84309.22209946734,0.0014433078025043332,0.10622975911283952,2014,204.26
BRA,gas,0.267,4182.111,3928.05576,8110.16676,3.29216411821352e-05,0.5156627630182046,0.08560495634333712,19478.390505065854,0.37376306484632604,0.09842383369018087,2017,271.814
BRN,gas,1.968,4769.217,2326.8141,7096.0311,0.00027733813060655836,0.6720964061163711,0.0826751410207674,6284.022658040497,0.9026280754211284,0.07725965099778119,2015,132.915
CAN,gas,382.483,67464.248,20871.93069,88336.17869,0.004329856754866606,0.7637216030903228,0.06258687227279561,113083.14177090563,0.7943319546880016,0.08010442446931294,2002,1807.226
CHL,gas,2.335,1229.16,,,,,0.11879815080121406,1155.9309241871347,0.624983260893666,,1976,46.198
CHN,gas,0.0,22644.777,87907.62285,110552.39985,0.0,0.20483297541007653,,,,0.07470326436996877,2019,1767.414
COL,gas,95.083,3121.977,902.3600700000001,4024.33707,0.023626997029848693,0.775774232052585,0.048576810683433974,31756.696606331785,0.04472677191755144,0.06620338150595605,2013,132.235
DEU,gas,8.095,8255.158,228.1806,8483.3386,0.0009542233761599474,0.9731024999992338,0.10020274545383212,8529.238160267318,0.8390773824137805,0.124832782776277,1974,206.037
DNK,gas,0.0,2173.693,310.24188000000004,2483.9348800000002,0.0,0.8751006387091759,0.17295154468711676,2348.056523521594,0.9678853110296634,0.1616203326019057,2005,109.13
DZA,gas,4.348,27780.774,45375.4917,73156.2657,5.943441697571504e-05,0.3797456545133632,0.10642271910556415,35344.59336472053,0.9194243761168926,0.08401461122015588,2003,938.576
EGY,gas,0.0,10923.388,22375.41057,33298.79857,0.0,0.32804150507223545,0.15000376358482215,15423.583719932003,0.8181604812046896,0.11559180215183892,2019,649.388
FRA,gas,18.962,2530.981,,,,,0.134218525789952,2517.895796568791,0.9873379234176887,,1979,83.135
GBR,gas,0.011,28052.509,1957.11966,30009.62866,3.6654902080351166e-07,0.9347836095483362,0.0961678691491201,34229.85492334122,0.8240864413875412,0.12712598054013025,2000,1134.59
GNQ,gas,0.0,896.148,,,,,0.330936218778738,1010.2997316417831,0.8924619499495062,,2011,74.619
HUN,gas,14.463000000000001,2459.201,,,,,0.13035719336608506,2395.670710277698,0.9240569424852665,,1978,83.991
IDN,gas,109.161,25951.353,14963.09985,40914.45285,0.0026680303021576397,0.634283271369716,0.10151659175215252,34562.76215709189,0.9247188793393171,0.09216034790985289,2012,942.41
IND,gas,0.0,8488.591,13909.282290000001,22397.873290000003,0.0,0.3789909376704041,0.12397465085714399,11156.690637298396,0.892975948966803,0.09762891917016432,2010,474.292
IRL,gas,0.0,654.453,,,,,0.15618528031101173,615.7906061439617,0.699132024638595,,2016,32.247
IRN,gas,0.0,33274.22,336005.14446000004,369279.36446000007,0.0,0.09010582015233139,0.10617806568201603,89545.92720870672,0.9232770427826682,0.09014712478157448,2019,2283.14
IRQ,gas,0.0,1833.935,36933.123510000005,38767.05851,0.0,0.04730652957657168,,,,0.0575734238270882,2019,109.669
ISR,gas,0.0,840.213,5931.75357,6771.96657,0.0,0.12407223091179553,0.18093930985058565,3268.689327112615,0.15563761967818857,0.17124260431388325,2019,99.618
ITA,gas,11.021,7635.557,456.3612,8091.9182,0.0013619761999077056,0.9436028406713256,0.08289772455238667,8303.396936598972,0.9097332104567534,0.09753364147450118,1994,192.426
JPN,gas,12.917,1798.205,,,,,0.059873644960377385,2434.3043123795946,0.6268282550707478,,2007,46.254
KAZ,gas,3.6166542133673425,5933.674656828072,23625.27504,29558.949696828073,0.00012235394865046372,0.2007403753410361,0.09554571258674417,19644.804737911316,0.2577875096897898,0.08164163649469472,2018,391.784
KWT,gas,0.0,4169.307,17739.4716,21908.7786,0.0,0.19030303222836892,0.054254148728789926,16588.10285103295,0.06685383892243041,0.05375252856877939,2018,168.509
LBY,gas,0.0,3693.179,14964.146550000001,18657.32555,0.0,0.19794793150296935,0.06267845039901906,9814.751599428084,0.1831144161436314,0.05846557940808055,2019,160.475
MEX,gas,163.185,17013.613,1863.85869,18877.471690000002,0.00864443092167074,0.9012654490703145,0.06424622609548215,28273.68395890334,0.6522501183528897,0.08446444189402827,2009,525.831
MMR,gas,0.024,2788.891,4678.01631,7466.9073100000005,3.214182124352632e-06,0.3735001499569974,0.16861441679775685,3988.293853241233,0.7318851843265598,0.11161833769701686,2015,192.167
MOZ,gas,0.0,753.643,,,,,0.2277401467667473,1215.0889860862655,0.9628841521352556,,2016,66.456
MYS,gas,0.0,17425.067,9506.44341,26931.51041,0.0,0.6470141011300228,0.12134421623133207,25124.578803639306,0.9387046440460219,0.12189455693382582,2017,795.831
NGA,gas,0.0,7213.764,57285.68166,64499.445660000005,0.0,0.11184226354481198,0.1475378496676563,11924.524062296457,0.7470790818348811,0.09711626415706863,2019,492.792
NLD,gas,0.215,32839.526,1359.97731,34199.50331,6.286641009114702e-06,0.9602340040534348,0.09363677629268863,35511.46997221368,0.8088195053914486,0.1009425906447716,1977,861.111
NOR,gas,0.0,24800.055,16042.56156,40842.61656,0.0,0.6072102399112306,0.08495995367983254,67449.43528113292,0.15884161226646748,0.11123423731469756,2017,1224.161
NZL,gas,0.0,2039.387,,,,,0.11466952573579425,2265.9017989916665,0.8574118873635758,,2001,69.246
